Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Workload_Index
0,1,0,2.0,3.0,3.8,0.16,0.6
1,1,1,1.0,2.0,5.0,0.36,0.2
1,1,1,1.0,1.0,2.6,0.2,0.1
0,1,0,3.0,7.0,6.9,0.52,2.1
1,0,1,2.0,4.0,3.6,0.29,0.8
0,1,0,3.0,6.0,7.9,0.62,1.8
0,1,1,2.0,4.0,4.4,0.33,0.8
1,0,1,2.0,3.0,5.3,0.5,0.6
1,1,1,0.0,1.0,1.8,0.12,0.0
1,0,1,1.0,3.0,5.8,0.51,0.3
0,1,1,3.0,5.0,4.7,0.32,1.5
1,1,1,1.0,2.0,5.9,0.39,0.2
1,1,0,3.0,6.0,6.7,0.59,1.8
0,0,1,2.0,4.0,4.0,0.22,0.8
1,0,0,2.0,4.0,7.6,0.57,0.8
1,1,1,1.0,3.0,6.3,0.47,0.3
1,1,1,1.0,3.0,6.7,0.46,0.3
1,1,0,2.0,4.0,6.6,0.44,0.8
0,1,0,2.0,4.0,7.4,0.6,0.8
0,1,0,2.0,5.0,6.7,0.46,1.0
0,0,1,1.0,2.0,3.6,0.2,0.2
0,1,1,1.0,2.0,3.9,0.2,0.2
0,1,0,0.0,1.0,3.0,0.19,0.0
1,1,0,1.0,3.0,4.7,0.31,0.3
1,0,0,4.0,8.0,8.7,0.81,3.2
1,1,1,3.0,5.0,4.4,0.39,1.5
0,1,1,3.0,6.0,5.8,0.42,1.8
0,0,1,0.0,2.0,3.9,0.19,0.0
0,1,1,3.0,7.0,6.6,0.56,2.1
0,1,0,4.0,7.0,7.3,0.53,2.8
0,0,1,1.0,3.0,5.4,0.33,0.3
1,1,0,2.0,5.0,5.0,0.45,1.0
0,1,1,2.0,3.0,6.0,0.36,0.6
0,1,1,3.0,6.0,7.5,0.59,1.8
1,1,0,4.0,10.0,10.0,0.94,4.0
0,0,1,1.0,3.0,6.0,0.37,0.3
1,1,0,2.0,6.0,7.4,0.65,1.2
0,1,1,2.0,5.0,6.4,0.49,1.0
1,1,1,1.0,3.0,5.6,0.38,0.3
1,0,0,2.0,5.0,7.4,0.62,1.0
0,0,1,3.0,5.0,6.1,0.39,1.5
0,0,1,2.0,4.0,3.1,0.15,0.8
1,1,0,2.0,5.0,8.0,0.61,1.0
0,0,0,1.0,2.0,4.0,0.26,0.2
0,1,0,2.0,2.0,3.6,0.28,0.4
1,0,1,2.0,5.0,8.7,0.71,1.0
0,1,0,3.0,5.0,6.8,0.57,1.5
0,1,1,2.0,3.0,4.9,0.39,0.6
0,0,0,3.0,6.0,7.9,0.61,1.8
1,0,0,3.0,6.0,7.6,0.62,1.8
0,1,0,5.0,9.0,9.2,0.8,4.5
1,1,1,4.0,6.0,6.5,0.63,2.4
0,1,0,3.0,5.0,6.8,0.6,1.5
0,0,0,4.0,8.0,8.7,0.79,3.2
1,1,1,2.0,5.0,6.2,0.39,1.0
0,1,0,3.0,5.0,5.8,0.36,1.5
0,0,0,2.0,4.0,6.6,0.5,0.8
1,0,0,4.0,7.0,8.2,0.72,2.8
0,1,1,2.0,3.0,4.9,0.34,0.6
0,1,0,1.0,2.0,4.1,0.27,0.2
1,1,0,3.0,7.0,7.4,0.66,2.1
1,1,1,1.0,2.0,4.4,0.27,0.2
0,1,0,2.0,6.0,6.9,0.67,1.2
0,0,1,1.0,2.0,5.3,0.38,0.2
0,1,1,2.0,2.0,4.3,0.28,0.4
1,0,1,0.0,1.0,0.8,0.05,0.0
0,1,1,2.0,4.0,2.9,0.22,0.8
0,1,1,1.0,3.0,5.0,0.39,0.3
1,1,1,1.0,4.0,6.9,0.52,0.4
0,1,0,3.0,5.0,4.7,0.39,1.5
0,1,0,1.0,3.0,2.0,0.11,0.3
0,1,0,2.0,4.0,5.4,0.44,0.8
1,0,0,2.0,5.0,6.1,0.5,1.0
0,0,1,1.0,4.0,5.1,0.41,0.4
0,1,1,3.0,5.0,4.7,0.43,1.5
1,1,1,3.0,5.0,5.4,0.46,1.5
0,1,0,4.0,7.0,9.1,0.85,2.8
1,1,1,1.0,3.0,5.0,0.35,0.3
1,0,0,1.0,1.0,0.0,0.0,0.1
1,0,1,2.0,4.0,4.3,0.34,0.8
0,0,0,2.0,5.0,5.7,0.55,1.0
1,1,1,4.0,6.0,6.8,0.62,2.4
1,1,0,3.0,6.0,7.6,0.72,1.8
1,0,1,3.0,8.0,8.3,0.71,2.4
0,0,0,1.0,3.0,5.5,0.39,0.3
0,1,0,1.0,3.0,5.3,0.48,0.3
0,1,0,3.0,7.0,8.0,0.7,2.1
1,1,1,4.0,6.0,6.4,0.56,2.4
0,1,1,1.0,3.0,3.6,0.27,0.3
0,0,1,2.0,5.0,7.0,0.66,1.0
0,0,0,3.0,7.0,7.6,0.56,2.1
1,1,0,2.0,5.0,8.7,0.79,1.0
0,0,1,0.0,1.0,2.6,0.18,0.0
0,1,1,2.0,4.0,4.7,0.33,0.8
1,1,1,2.0,4.0,6.4,0.4,0.8
0,1,0,2.0,5.0,5.8,0.39,1.0
0,1,0,1.0,1.0,3.3,0.23,0.1
0,0,1,2.0,4.0,5.9,0.45,0.8
1,0,1,1.0,3.0,7.0,0.52,0.3
0,1,0,4.0,7.0,7.2,0.6,2.8
1,1,1,3.0,7.0,7.9,0.59,2.1
0,1,1,1.0,3.0,5.9,0.36,0.3
1,1,0,1.0,3.0,4.4,0.29,0.3
1,1,1,2.0,5.0,5.2,0.34,1.0
0,0,1,2.0,4.0,5.3,0.34,0.8
0,0,1,3.0,4.0,5.2,0.46,1.2
1,1,1,2.0,5.0,4.5,0.36,1.0
0,0,0,2.0,3.0,6.6,0.45,0.6
0,0,1,3.0,5.0,3.8,0.27,1.5
1,0,0,3.0,7.0,7.6,0.65,2.1
0,0,1,3.0,6.0,5.6,0.34,1.8
0,1,1,1.0,3.0,5.4,0.37,0.3
1,0,1,1.0,2.0,4.9,0.25,0.2
1,1,0,2.0,5.0,7.3,0.57,1.0
1,1,0,2.0,5.0,5.6,0.52,1.0
0,0,0,4.0,8.0,7.8,0.75,3.2
0,0,1,4.0,7.0,6.7,0.55,2.8
0,1,0,1.0,4.0,6.5,0.43,0.4
0,1,1,0.0,1.0,1.8,0.1,0.0
0,0,0,3.0,6.0,8.1,0.68,1.8
1,1,1,3.0,7.0,6.4,0.56,2.1
1,1,1,3.0,8.0,7.2,0.73,2.4
0,1,0,2.0,5.0,8.6,0.7,1.0
1,0,0,4.0,8.0,9.5,0.88,3.2
1,0,1,2.0,6.0,6.8,0.63,1.2
0,1,0,2.0,5.0,6.5,0.62,1.0
0,1,1,2.0,3.0,3.5,0.25,0.6
1,1,0,2.0,3.0,4.8,0.4,0.6
1,0,0,3.0,8.0,7.6,0.77,2.4
1,0,1,3.0,6.0,6.2,0.58,1.8
0,0,1,3.0,6.0,3.6,0.3,1.8
1,0,0,3.0,6.0,8.0,0.61,1.8
0,1,1,3.0,5.0,6.0,0.4,1.5
0,1,1,1.0,3.0,3.8,0.33,0.3
0,0,1,1.0,2.0,2.4,0.06,0.2
1,1,1,1.0,4.0,4.3,0.36,0.4
0,1,1,1.0,2.0,3.7,0.28,0.2
1,0,1,2.0,5.0,5.6,0.37,1.0
0,1,1,0.0,1.0,1.0,0.03,0.0
